Prueba,Fecha,Observadora,Hora,Tipo de Bosque,Point,Tratamiento,Grabación,Temperatura,Speaker Direction,Other Notes
48,3-Jul-23,CAH,8:02,VA,VA17,NF2,48_VA_NF2_ZOOM0055,22,300,
49,5-Aug-23,CAH,6:59,VA,VA16,MSF1,49_VA_MSF1_ZOOM0105,22,272,
50,5-Jul-23,CAH,6:30,VA,VA20,HEGR1,50_VA_HEGR1_ZOOM0062,23,164,
51,5-Jul-23,GX,6:31,VA,VA25,MYSC4,51_VA_MYSC4_ZOOM0143,24.7,268,
52,5-Jul-23,CAH,6:53,VA,VA7,MOMO4,52_VA_MOMO4_ZOOM0063,23,7,
53,5-Jul-23,GX,6:56,VA,VA24,NF1,53_VA_NF1_ZOOM0144,24.4,264,
54,5-Jul-23,GX,7:23,VA,VA22,MSF4,54_VA_MSF4_ZOOM0145,23.4,264,
55,5-Jul-23,CAH,7:29,VA,VA2,CTRL4,55_VA_CTRL4_ZOOM0064,23,189,
56,5-Jul-23,GX,7:48,VA,VA21,CTRL2,56_VA_CTRL2_ZOOM0146,25,263,
57,5-Jul-23,CAH,7:55,VA,VA18,NF4,57_VA_NF4_ZOOM0065,23,113,
58,15-Jul-23,CAH,6:54,VA,VA4,MSF5,58_VA_MSF5_ZOOM0025,18,359,
59,5-Jul-23,CAH,8:18,VA,VA16,HEGR6,59_VA_HEGR6_ZOOM0066,24,292,
60,7-Jul-23,CAH,6:33,VA,VA21,THAR2,60_VA_THAR2_ZOOM0072,23,157,
61,7-Jul-23,CAH,6:56,VA,VA22,NF5,61_VA_NF5_ZOOM0073,23,231,
