"Trial","Point","Treatment","Exemplar","Stage","Spp","ID","Distance"
14,"TF27","NF","NF2","POST","MYGAI","MYGAI1",20
14,"TF27","NF","NF2","POST","MONIG","MONIG1",50
14,"TF27","NF","NF2","POST","MYMYO","MYMYO1",40
14,"TF27","NF","NF2","POST","SCHEM","SCHEM1",15
14,"TF27","NF","NF2","POST","SCHEM","SCHEM2",15
14,"TF27","NF","NF2","POST","MYMYO","MYMYO2",40
14,"TF27","NF","NF2","POST","HEGRI","HEGRI1",20
14,"TF27","NF","NF2","POST","HAFOR","HAFOR1",20
15,"TF28","NFSOLO","LAHY7","PRE","MYMYO","MYMYO1",20
15,"TF28","NFSOLO","LAHY7","PRE","THSCH","THSCH1",20
15,"TF28","NFSOLO","LAHY7","PRE","MYMYO","MYMYO2",20
15,"TF28","NFSOLO","LAHY7","PRE","UKCAN","UKCAN1",40
15,"TF28","NFSOLO","LAHY7","PRE","LAHYP","LAHYP1",80
15,"TF28","NFSOLO","LAHY7","PRE","CECIN","CECIN1",30
15,"TF28","NFSOLO","LAHY7","PRE","CECIN","CECIN2",30
15,"TF28","NFSOLO","LAHY7","PRE","THSCH","THSCH2",50
15,"TF28","NFSOLO","LAHY7","PRE","CYLIN","CYLIN1",60
15,"TF28","NFSOLO","LAHY7","POST","MYMYO","MYMYO1",20
15,"TF28","NFSOLO","LAHY7","POST","MYMYO","MYMYO2",20
15,"TF28","NFSOLO","LAHY7","POST","CECIN","CECIN1",30
15,"TF28","NFSOLO","LAHY7","POST","CECIN","CECIN2",30
15,"TF28","NFSOLO","LAHY7","POST","CYLIN","CYLIN1",60
15,"TF28","NFSOLO","LAHY7","POST","HEGRI","HEGRI1",40
15,"TF28","NFSOLO","LAHY7","POST","THSCH","THSCH1",30
15,"TF28","NFSOLO","LAHY7","POST","DERUF","DERUF1",50
15,"TF28","NFSOLO","LAHY7","POST","AUOCH","AUOCH1",50
16,"TF21","NF","NF5","PRE","CYLIN","CYLIN1",40
16,"TF21","NF","NF5","PRE","SCHEM","SCHEM1",40
16,"TF21","NF","NF5","PRE","ONSAL","ONSAL1",30
16,"TF21","NF","NF5","PRE","PLPLA","PLPLA1",10
16,"TF21","NF","NF5","PRE","MYLOP","MYLOP1",60
16,"TF21","NF","NF5","PRE","MYLOP","MYLOP1",50
16,"TF21","NF","NF5","PRE","PAHYP","PAHYP1",70
16,"TF21","NF","NF5","POST","PLPLA","PLPLA1",10
16,"TF21","NF","NF5","POST","COPER","COPER1",10
16,"TF21","NF","NF5","POST","SCHEM","SCHEM1",70
16,"TF21","NF","NF5","POST","CYLIN","CYLIN1",40
17,"TF20","MSFSOLO","MYSC8","PRE","TRCUR","TRCUR1",20
17,"TF20","MSFSOLO","MYSC8","PRE","THSCH","THSCH1",20
17,"TF20","MSFSOLO","MYSC8","PRE","THSCH","THSCH2",20
